league,position,team,matches,seasons,first_match,last_match,corners_for_avg,corners_against_avg,corners_total_avg,shots_for_avg,shots_on_for_avg,raw_index,ci,grade,enough_data,corners_for,corners_against,shots_for,shots_against,league_id,team_id
Premier League (Англия),6,Brighton,76,2024/25+2025/26,2024-08-17,2026-05-24,4.92,4.83,9.75,13.53,4.83,2.749,78.1,A,True,374,367,1028,870,E0,
Premier League (Англия),7,Nott'm Forest,76,2024/25+2025/26,2024-08-17,2026-05-24,4.72,5.58,10.3,12.36,4.24,2.616,62.8,B,True,359,424,939,1036,E0,
Premier League (Англия),8,Ipswich,38,2024/25,2024-08-17,2025-05-25,3.82,6.63,10.45,9.89,3.34,2.593,60.2,B,True,145,252,376,607,E0,
Premier League (Англия),9,Everton,76,2024/25+2025/26,2024-08-17,2026-05-24,4.2,5.58,9.78,10.86,3.79,2.586,59.4,B,True,319,424,825,1013,E0,
Premier League (Англия),10,West Ham,76,2024/25+2025/26,2024-08-17,2026-05-24,4.49,5.8,10.29,11.58,3.79,2.581,58.8,B,True,341,441,880,1147,E0,
Premier League (Англия),11,Burnley,38,2025/26,2025-08-16,2026-05-24,3.63,6.0,9.63,9.34,3.11,2.572,57.7,B,True,138,228,355,636,E0,
Premier League (Англия),12,Fulham,76,2024/25+2025/26,2024-08-16,2026-05-24,5.17,5.04,10.21,13.18,4.09,2.55,55.2,B,True,393,383,1002,880,E0,
Premier League (Англия),13,Liverpool,76,2024/25+2025/26,2024-08-17,2026-05-24,6.38,4.05,10.43,16.26,5.34,2.548,55.0,B,True,485,308,1236,822,E0,
Premier League (Англия),14,Bournemouth,76,2024/25+2025/26,2024-08-17,2026-05-24,5.8,5.08,10.88,14.54,5.0,2.506,50.2,B,True,441,386,1105,967,E0,
Premier League (Англия),15,Man City,76,2024/25+2025/26,2024-08-18,2026-05-24,6.58,3.54,10.12,15.82,5.55,2.404,38.5,C,True,500,269,1202,724,E0,
Premier League (Англия),16,Leicester,38,2024/25,2024-08-19,2025-05-25,3.71,6.08,9.79,8.82,2.92,2.376,35.2,C,True,141,231,335,641,E0,
Premier League (Англия),17,Brentford,76,2024/25+2025/26,2024-08-18,2026-05-24,4.7,5.91,10.61,11.13,4.36,2.37,34.6,C,True,357,449,846,1151,E0,
Premier League (Англия),18,Chelsea,76,2024/25+2025/26,2024-08-18,2026-05-24,6.14,4.01,10.16,14.55,5.03,2.368,34.3,C,True,467,305,1106,813,E0,
Premier League (Англия),19,Arsenal,76,2024/25+2025/26,2024-08-17,2026-05-24,6.14,3.24,9.38,14.46,4.92,2.353,32.6,C,True,467,246,1099,672,E0,
Premier League (Англия),20,Newcastle,76,2024/25+2025/26,2024-08-17,2026-05-24,5.91,5.12,11.03,13.37,4.61,2.263,22.3,D,True,449,389,1016,943,E0,
Premier League (Англия),21,Southampton,38,2024/25,2024-08-17,2025-05-25,4.0,6.47,10.47,9.03,2.92,2.257,21.6,D,True,152,246,343,682,E0,
Premier League (Англия),22,Aston Villa,76,2024/25+2025/26,2024-08-17,2026-05-24,5.67,4.72,10.39,12.72,4.47,2.244,20.1,D,True,431,359,967,953,E0,
Premier League (Англия),23,Tottenham,76,2024/25+2025/26,2024-08-19,2026-05-24,5.93,5.05,10.99,12.28,4.41,2.069,0.0,D,True,451,384,933,987,E0,
Serie A (Италия),1,Como,76,2024/25+2025/26,2024-08-19,2026-05-24,4.43,3.54,7.97,14.04,4.93,3.166,100.0,A+,True,337,269,1067,726,I1,
Serie A (Италия),2,Juventus,76,2024/25+2025/26,2024-08-19,2026-05-24,5.21,4.14,9.36,15.17,5.49,2.912,75.1,A,True,396,315,1153,786,I1,
Serie A (Италия),3,Fiorentina,76,2024/25+2025/26,2024-08-17,2026-05-22,4.16,4.34,8.5,12.08,3.96,2.905,74.4,A,True,316,330,918,950,I1,
Serie A (Италия),4,Sassuolo,38,2025/26,2025-08-23,2026-05-24,3.76,4.97,8.74,10.68,3.74,2.839,67.9,B,True,143,189,406,548,I1,
Serie A (Италия),5,Milan,76,2024/25+2025/26,2024-08-17,2026-05-24,4.99,4.24,9.22,13.96,4.71,2.799,64.0,B,True,379,322,1061,868,I1,
Serie A (Италия),6,Bologna,76,2024/25+2025/26,2024-08-18,2026-05-23,4.72,3.71,8.43,13.2,4.2,2.794,63.5,B,True,359,282,1003,711,I1,
Serie A (Италия),7,Genoa,76,2024/25+2025/26,2024-08-17,2026-05-24,3.88,5.09,8.97,10.79,3.49,2.78,62.1,B,True,295,387,820,965,I1,
Serie A (Италия),8,Roma,76,2024/25+2025/26,2024-08-18,2026-05-24,4.82,3.74,8.55,13.32,4.63,2.765,60.6,B,True,366,284,1012,809,I1,
Serie A (Италия),9,Torino,76,2024/25+2025/26,2024-08-17,2026-05-24,4.0,4.89,8.89,10.97,3.68,2.743,58.5,B,True,304,372,834,1051,I1,
Serie A (Италия),10,Atalanta,76,2024/25+2025/26,2024-08-19,2026-05-22,5.37,3.71,9.08,14.55,4.86,2.711,55.3,B,True,408,282,1106,849,I1,
Serie A (Италия),11,Pisa,38,2025/26,2025-08-24,2026-05-23,3.55,4.82,8.37,9.61,2.79,2.704,54.7,B,True,135,183,365,549,I1,
Serie A (Италия),12,Venezia,38,2024/25,2024-08-18,2025-05-25,3.76,5.87,9.63,10.0,3.42,2.657,50.0,B,True,143,223,380,548,I1,
Serie A (Италия),13,Inter,76,2024/25+2025/26,2024-08-17,2026-05-23,6.08,3.29,9.37,16.07,5.57,2.643,48.7,C,True,462,250,1221,746,I1,
Serie A (Италия),14,Parma,76,2024/25+2025/26,2024-08-17,2026-05-24,4.13,5.42,9.55,10.92,3.32,2.643,48.7,C,True,314,412,830,1079,I1,
Serie A (Италия),15,Verona,76,2024/25+2025/26,2024-08-18,2026-05-24,3.97,5.18,9.16,10.39,3.18,2.616,46.0,C,True,302,394,790,1015,I1,
Serie A (Италия),16,Cremonese,38,2025/26,2025-08-23,2026-05-24,3.5,5.97,9.47,9.13,3.29,2.609,45.3,C,True,133,227,347,594,I1,
Serie A (Италия),17,Lazio,76,2024/25+2025/26,2024-08-18,2026-05-23,4.88,4.3,9.18,12.55,4.67,2.571,41.6,C,True,371,327,954,891,I1,
Serie A (Италия),18,Cagliari,76,2024/25+2025/26,2024-08-18,2026-05-24,4.32,5.08,9.39,10.99,3.33,2.546,39.2,C,True,328,386,835,989,I1,
Serie A (Италия),19,Udinese,76,2024/25+2025/26,2024-08-18,2026-05-24,4.58,5.04,9.62,11.54,3.83,2.52,36.6,C,True,348,383,877,1004,I1,
Serie A (Италия),20,Lecce,76,2024/25+2025/26,2024-08-19,2026-05-24,4.32,5.68,10.0,10.87,2.93,2.518,36.4,C,True,328,432,826,1016,I1,
Serie A (Италия),21,Monza,38,2024/25,2024-08-17,2025-05-24,3.58,5.11,8.68,8.76,2.74,2.449,29.6,D,True,136,194,333,563,I1,
Serie A (Италия),22,Napoli,76,2024/25+2025/26,2024-08-18,2026-05-24,5.49,3.33,8.82,13.28,4.45,2.42,26.8,D,True,417,253,1009,751,I1,
Serie A (Италия),23,Empoli,38,2024/25,2024-08-17,2025-05-25,4.47,5.11,9.58,9.61,2.89,2.147,0.0,D,True,170,194,365,504,I1,
